fix		1 all npt temp 300 300 1 y 0 0 1000 z 0 0 1000
fix		2 all deform 1 x erate 1e-5 units box remap x

run		200000
PPPM initialization ...
  using 12-bit tables for long-range coulomb (../kspace.cpp:342)
  G vector (1/distance) = 0.17300879
  grid = 24 24 20
  stencil order = 5
  estimated absolute RMS force accuracy = 0.031818741
  estimated relative force accuracy = 9.5821193e-05
  using double precision KISS FFT
  3d grid and FFT values/proc = 1210 216
Generated 440391 of 440391 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 13
  ghost atom cutoff = 13
  binsize = 6.5, bins = 17 16 16
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut/coul/long, perpetual
      attributes: half, newton on
      pair build: half/bin/newton
      stencil: half/bin/3d
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 23.38 | 23.72 | 24.17 Mbytes
   Step          Temp          TotEng           Lx             Ly             Lz           Press           Pxx            Pyy            Pzz           Volume    
         0   300            146754.94      106.89716      100.97788      99.275464     -25.588201     -294.94838      245.45506     -27.271286      1071604      
       100   301.14529      147633.81      106.95061      100.97642      99.272062     -333.46551     -478.00982     -328.8559      -193.53081      1072087.6    
       200   300.5448       147243.22      107.00406      100.96092      99.252488     -206.34266     -454.06498     -8.4655805     -156.49741      1072247.2    
       300   298.90415      146412.17      107.0575       100.93416      99.220788     -63.985204     -131.66913      215.00012     -275.28661      1072155.9    
       400   299.48358      146973.79      107.11095      100.90369      99.175732     -338.18795     -260.9836      -403.14355     -350.4367       1071880.4    
       500   300.04045      146676.51      107.1644       100.86714      99.125144     -163.39975     -218.63939     -130.27167     -141.2882       1071480      
       600   299.30794      146428.41      107.21785      100.82752      99.066603      22.902121     -130.96702      296.81464     -97.141257      1070960.5    
       700   299.82631      146668.68      107.2713       100.78354      99.003333      22.467418      281.35387     -296.79965      82.848039      1070342.9    
       800   300.85064      146663.55      107.32475      100.73624      98.945519     -1.2868501     -268.4083       403.11628     -138.56853      1069748.6    
       900   299.89147      146337.43      107.3782       100.69206      98.898174      93.822168      220.95443     -134.56218      195.07426      1069300.1    
      1000   299.61058      146747.85      107.43164      100.65574      98.860168     -380.2053      -730.50117     -45.269863     -364.84488      1069035.4    
      1100   298.30039      145918.74      107.48509      100.62302      98.823254     -124.62747     -335.72062      22.325753     -60.487549      1068820.4    
      1200   298.8436       145659.55      107.53854      100.59442      98.779093      48.085896     -49.528837      145.965        47.821527      1068570.2    
      1300   300.44427      146595.41      107.59199      100.57725      98.731522     -296.12191     -384.93256     -389.17438     -114.25878      1068404.1    
      1400   300.11159      146423.13      107.64544      100.56203      98.690376      18.368792      0.71469012    -344.57434      398.96602      1068327.7    
      1500   299.47827      146526.64      107.69889      100.54151      98.658551     -369.64106     -345.19775     -579.03583     -184.68959      1068295.4    
      1600   299.6484       146138.03      107.75234      100.51388      98.625683     -94.273896     -333.23768     -117.47322      167.88921      1068175.8    
      1700   299.42991      146217.87      107.80578      100.48448      98.593347     -293.9763      -538.9758      -246.60103     -96.352079      1068042.8    
      1800   297.13834      145648.2       107.85923      100.4517       98.553771     -115.72142     -300.42673      17.619502     -64.357048      1067794.9    
      1900   299.84131      146537.83      107.91268      100.4152       98.511085     -155.63711     -348.89241      2.8951408     -120.91407      1067473.4    
      2000   300.99284      146717.16      107.96613      100.38485      98.471299      161.23155      245.55757     -68.561332      306.69843      1067248      
      2100   300.07857      146219.61      108.01958      100.34609      98.431703     -194.44687     -358.20897     -138.30046     -86.831182      1066934.9    
      2200   300.04447      146486.58      108.07303      100.30449      98.388695     -492.32803     -725.07745     -477.63714     -274.26951      1066554.1    
      2300   300.81134      146743.99      108.12648      100.26625      98.343913     -320.80396     -447.19268     -262.76311     -252.45608      1066189.2    
      2400   299.20628      145933.77      108.17992      100.2225       98.295652     -229.54489     -213.26591     -104.65911     -370.70964      1065727.6    
      2500   300.71704      146575.69      108.23337      100.18355      98.253864     -308.56517     -563.4769      -259.03985     -103.17877      1065386.7    
      2600   300.00908      146348.14      108.28682      100.14045      98.204355     -201.44969     -218.89326     -136.28825     -249.16756      1064917.3    
      2700   299.86669      146182.19      108.34027      100.09702      98.159077     -421.96027     -592.01189     -489.27241     -184.59651      1064489.9    
      2800   301.39816      146576.04      108.39372      100.05513      98.111911      88.857382      37.762865      322.96434     -94.155063      1064057.7    
      2900   298.99454      145791.6       108.44717      100.02187      98.066457     -271.23194     -570.87047     -239.59897     -3.2263837      1063735.5    
      3000   299.78501      146182.04      108.50062      99.999638      98.030723     -110.19969     -479.92152     -113.73637      263.05882      1063635.5    
      3100   301.04783      146692         108.55406      99.980263      98.003342      125.54735      42.581609      164.30772      169.75272      1063656.1    
      3200   299.77922      146039.41      108.60751      99.961069      97.980968     -192.98073     -178.19265     -382.79746     -17.952074      1063732.7    
      3300   301.28941      146361.26      108.66096      99.934807      97.951059     -325.49472     -170.86147     -277.82936     -527.79333      1063651.7    
      3400   299.25026      146078.1       108.71441      99.902765      97.920278     -258.04247     -505.6499      -114.20214     -154.27536      1063499.4    
      3500   300.62341      146409.82      108.76786      99.867117      97.889743     -192.05247     -149.10664     -279.40048     -147.65028      1063310.9    
      3600   299.037        146129.53      108.82131      99.82918       97.863358     -36.545868     -481.10702      146.02087      225.44855      1063142.7    
      3700   299.79467      145889.96      108.87476      99.78864       97.843399     -63.814995     -163.15029     -75.360372      47.065671      1063016.1    
      3800   301.16029      146881.19      108.9282       99.745207      97.822343     -134.83731     -500.58436      164.52737     -68.454956      1062846.2    
      3900   298.44543      145549.86      108.98165      99.704099      97.800098     -186.38425     -435.22217     -118.12728     -5.8032988      1062687.8    
      4000   300.25275      146593.24      109.0351       99.657865      97.777535      75.543238     -368.40236      533.00645      62.025625      1062470.8    
      4100   300.83496      146225.56      109.08855      99.616086      97.756773     -291.23917     -387.59902     -491.98401      5.865528       1062320.3    
      4200   300.13335      146277.85      109.142        99.578185      97.735525     -304.82447     -275.10657     -305.6367      -333.73014      1062205.5    
      4300   300.44174      146201.01      109.19545      99.533804      97.706824     -261.74023     -649.17815     -128.93183     -7.1107044      1061940.1    
      4400   300.55228      146295.71      109.2489       99.4856        97.674302     -409.26515     -596.1993      -172.29861     -459.29754      1061591.9    
      4500   300.85841      146300.71      109.30234      99.446556      97.64683       39.507697      108.06897     -287.19547      297.64959      1061395.8    
      4600   300.4171       146082.85      109.35579      99.402521      97.633359     -189.84722     -233.98375     -85.183995     -250.3739       1061298.2    
      4700   299.16471      145970.52      109.40924      99.358808      97.624142     -329.98673     -444.64503     -472.36605     -72.949114      1061249.8    
      4800   300.40012      146251.87      109.46269      99.317253      97.607954     -244.77867     -590.33989      243.36604     -387.36215      1061148.2    
      4900   300.16619      146243.33      109.51614      99.27497       97.578642     -311.48752     -75.164378     -561.82906     -297.46914      1060895.6    
      5000   299.66593      146059.16      109.56959      99.23006       97.549441      27.735548     -181.61079      107.40153      157.41589      1060615.7    
      5100   299.33881      145876.5       109.62304      99.183816      97.523597     -223.70144     -182.0718      -230.54976     -258.48275      1060357.6    
      5200   298.78132      145686.75      109.67648      99.137077      97.494815     -32.410641     -460.65634      16.100739      347.32368      1060061.7    
      5300   300.6744       146356.3       109.72993      99.089363      97.466302     -80.726467      80.002582      79.403588     -401.58557      1059757.8    
      5400   300.98566      146067.69      109.78338      99.042888      97.430052     -63.027397     -268.16064      32.857282      46.221161      1059382.6    
      5500   299.33907      145696.02      109.83683      98.999938      97.393577      67.243958     -242.5994       344.67167      99.659603      1059042.1    
      5600   299.37507      146137.06      109.89028      98.966231      97.361831     -326.92064     -513.49366     -0.42001895    -466.84824      1058851.4    
